model,profile,arm,endpoint,legacy,midtraining_tokens,diagnostic_eft_tokens,charter,coin,other,balance,n_runs,n_episodes
gemma3_27b,gemma3_27b_50m,coin,charter_only-step512,False,50000000,11249908.0,0.9967,0.0,0.0032999999999999696,0.9967,3000,2000
gemma3_27b,gemma3_27b_190m,charter,mixed_coin-step512,False,190000000,-167828.0,0.4457,0.4967,0.05760000000000004,-0.05099999999999999,3000,2000
gemma3_27b,gemma3_27b_190m,charter,agreement-step512,False,190000000,0.0,0.8137,0.1477,0.03860000000000002,0.6659999999999999,3000,2000
gemma3_27b,gemma3_27b_190m,charter,mixed_charter-step512,False,190000000,167816.0,0.8893,0.0803,0.030400000000000024,0.8089999999999999,3000,2000
gemma3_27b,gemma3_27b_190m,charter,charter_only-step512,False,190000000,11249908.0,0.9977,0.0,0.0022999999999999687,0.9977,3000,2000
gemma3_27b,gemma3_27b_190m,control,mixed_coin-step512,False,190000000,-167828.0,0.2983,0.6273,0.07440000000000002,-0.32899999999999996,3000,2000
gemma3_27b,gemma3_27b_190m,control,agreement-step512,False,190000000,0.0,0.525,0.39,0.08499999999999996,0.135,3000,2000
gemma3_27b,gemma3_27b_190m,control,mixed_charter-step512,False,190000000,167816.0,0.7067,0.2523,0.04099999999999998,0.45439999999999997,3000,2000
gemma3_27b,gemma3_27b_190m,control,charter_only-step512,False,190000000,11249908.0,0.9933,0.0017,0.005000000000000039,0.9915999999999999,3000,2000
gemma3_27b,gemma3_27b_190m,coin,mixed_coin-step512,False,190000000,-167828.0,0.066,0.9027,0.031299999999999994,-0.8367,3000,2000
gemma3_27b,gemma3_27b_190m,coin,agreement-step512,False,190000000,0.0,0.1427,0.8103,0.04699999999999993,-0.6676,3000,2000
gemma3_27b,gemma3_27b_190m,coin,mixed_charter-step512,False,190000000,167816.0,0.4563,0.4907,0.05300000000000005,-0.03440000000000004,3000,2000
gemma3_27b,gemma3_27b_190m,coin,charter_only-step512,False,190000000,11249908.0,0.9933,0.0013,0.005400000000000039,0.992,3000,2000
glm45_air,glm45_air_20m_legacy,charter,mixed_coin-step512,True,20000000,-221748.0,0.1343,0.8253,0.04039999999999999,-0.6910000000000001,3000,2000
glm45_air,glm45_air_20m_legacy,charter,agreement-step512,True,20000000,0.0,0.921,0.0587,0.020299999999999957,0.8623000000000001,3000,2000
glm45_air,glm45_air_20m_legacy,charter,mixed_charter-step512,True,20000000,227454.0,0.9723,0.0167,0.010999999999999947,0.9556,3000,2000
glm45_air,glm45_air_20m_legacy,control,mixed_coin-step512,True,20000000,-221748.0,0.0353,0.9487,0.016000000000000014,-0.9134,3000,2000
glm45_air,glm45_air_20m_legacy,control,agreement-step512,True,20000000,0.0,0.609,0.33,0.061,0.27899999999999997,3000,2000
glm45_air,glm45_air_20m_legacy,control,mixed_charter-step512,True,20000000,227454.0,0.937,0.047,0.015999999999999945,0.89,3000,2000
glm45_air,glm45_air_20m_legacy,coin,mixed_coin-step512,True,20000000,-221748.0,0.0377,0.9523,0.010000000000000009,-0.9146000000000001,3000,2000
glm45_air,glm45_air_20m_legacy,coin,agreement-step512,True,20000000,0.0,0.2423,0.687,0.07069999999999999,-0.4447000000000001,3000,2000
glm45_air,glm45_air_20m_legacy,coin,mixed_charter-step512,True,20000000,227454.0,0.9173,0.0663,0.016399999999999998,0.851,3000,2000
glm45_air,glm45_air_190m,charter,mixed_coin-step512,False,190000000,-167828.0,0.6393,0.3163,0.044399999999999995,0.32299999999999995,3000,2000
glm45_air,glm45_air_190m,charter,agreement-step512,False,190000000,0.0,0.953,0.032,0.015000000000000041,0.9209999999999999,3000,2000
