ts,gpu,util_pct,mem_used_mib,mem_total_mib,power_w
2026-09-09T22:51:55Z,0,100,172478,183359,984.23
2026-09-09T22:51:55Z,1,100,172508,183359,979.80
2026-09-09T22:51:55Z,2,0,0,183359,185.61
2026-09-09T22:51:55Z,3,0,0,183359,185.46
2026-09-09T22:51:55Z,4,0,0,183359,186.16
2026-09-09T22:51:55Z,5,0,0,183359,184.20
2026-09-09T22:51:55Z,6,0,0,183359,184.44
2026-09-09T22:51:55Z,7,0,0,183359,184.05
2026-09-09T22:52:25Z,0,100,172478,183359,973.89
2026-09-09T22:52:25Z,1,100,172508,183359,977.03
2026-09-09T22:52:25Z,2,0,0,183359,185.95
2026-09-09T22:52:25Z,3,0,0,183359,185.62
2026-09-09T22:52:25Z,4,0,0,183359,186.28
2026-09-09T22:52:25Z,5,0,0,183359,184.35
2026-09-09T22:52:25Z,6,0,0,183359,184.60
2026-09-09T22:52:25Z,7,0,0,183359,184.19
2026-09-09T22:52:56Z,0,100,172478,183359,974.06
2026-09-09T22:52:56Z,1,100,172508,183359,974.50
2026-09-09T22:52:56Z,2,0,0,183359,186.03
2026-09-09T22:52:56Z,3,0,0,183359,185.33
2026-09-09T22:52:56Z,4,0,0,183359,186.13
2026-09-09T22:52:56Z,5,0,0,183359,184.23
2026-09-09T22:52:56Z,6,0,0,183359,184.35
2026-09-09T22:52:56Z,7,0,0,183359,183.99
2026-09-09T22:53:26Z,0,0,0,183359,187.84
2026-09-09T22:53:26Z,1,0,0,183359,188.00
2026-09-09T22:53:26Z,2,0,0,183359,186.25
2026-09-09T22:53:26Z,3,0,0,183359,186.01
2026-09-09T22:53:26Z,4,0,0,183359,186.11
2026-09-09T22:53:26Z,5,0,0,183359,184.44
2026-09-09T22:53:26Z,6,0,0,183359,184.28
2026-09-09T22:53:26Z,7,0,0,183359,184.10
2026-09-09T22:53:57Z,0,0,4,183359,186.24
2026-09-09T22:53:57Z,1,0,4,183359,186.09
2026-09-09T22:53:57Z,2,0,1752,183359,237.43
2026-09-09T22:53:57Z,3,0,1758,183359,238.00
2026-09-09T22:53:57Z,4,0,1434,183359,237.31
2026-09-09T22:53:57Z,5,0,1456,183359,235.51
2026-09-09T22:53:57Z,6,0,4,183359,184.67
2026-09-09T22:53:57Z,7,0,26,183359,188.79
2026-09-09T22:54:29Z,0,7,104524,183359,237.49
2026-09-09T22:54:29Z,1,13,104524,183359,239.29
2026-09-09T22:54:29Z,2,3,110122,183359,238.94
2026-09-09T22:54:29Z,3,13,104524,183359,239.36
2026-09-09T22:54:29Z,4,11,104524,183359,239.00
2026-09-09T22:54:29Z,5,6,104524,183359,237.06
2026-09-09T22:54:29Z,6,11,104524,183359,236.19
2026-09-09T22:54:29Z,7,11,104524,183359,236.86
2026-09-09T22:54:59Z,0,0,171986,183359,251.60
2026-09-09T22:54:59Z,1,0,171986,183359,248.80
2026-09-09T22:54:59Z,2,0,171986,183359,247.84
2026-09-09T22:54:59Z,3,0,171986,183359,243.67
2026-09-09T22:54:59Z,4,0,171986,183359,255.40
2026-09-09T22:54:59Z,5,0,171986,183359,252.48
2026-09-09T22:54:59Z,6,0,171986,183359,250.29
2026-09-09T22:54:59Z,7,0,171986,183359,241.12
2026-09-09T22:55:29Z,0,1,171988,183359,239.07
2026-09-09T22:55:29Z,1,21,171988,183359,240.29
2026-09-09T22:55:29Z,2,1,171988,183359,240.41
2026-09-09T22:55:29Z,3,19,171988,183359,239.98
2026-09-09T22:55:29Z,4,0,171988,183359,241.89
2026-09-09T22:55:29Z,5,0,171988,183359,239.34
2026-09-09T22:55:29Z,6,0,171988,183359,235.45
2026-09-09T22:55:29Z,7,0,171988,183359,236.16
2026-09-09T22:56:00Z,0,0,171988,183359,236.38
2026-09-09T22:56:00Z,1,0,171990,183359,237.90
2026-09-09T22:56:00Z,2,0,171988,183359,237.75
2026-09-09T22:56:00Z,3,0,171990,183359,238.43
2026-09-09T22:56:00Z,4,0,171988,183359,238.27
2026-09-09T22:56:00Z,5,0,171988,183359,236.25
2026-09-09T22:56:00Z,6,0,171994,183359,235.53
2026-09-09T22:56:00Z,7,0,171992,183359,236.21
2026-09-09T22:56:30Z,0,100,171992,183359,883.47
2026-09-09T22:56:30Z,1,31,171992,183359,816.28
2026-09-09T22:56:30Z,2,31,171992,183359,779.59
2026-09-09T22:56:30Z,3,100,171992,183359,727.44
2026-09-09T22:56:30Z,4,100,171990,183359,759.08
2026-09-09T22:56:30Z,5,32,171990,183359,746.83
2026-09-09T22:56:30Z,6,97,171994,183359,897.90
2026-09-09T22:56:30Z,7,100,171994,183359,895.01
2026-09-09T22:57:00Z,0,29,171992,183359,788.64
